 "GEOID" "GEOCODE" "NAME" "U7G001"
 "1400000US12103020105" "12103020105" "Census Tract 201.05" "2174"
 "1400000US12103020106" "12103020106" "Census Tract 201.06" "2361"
 "1400000US12103020107" "12103020107" "Census Tract 201.07" "1403"
 "1400000US12103020108" "12103020108" "Census Tract 201.08" "2992"
 "1400000US12103020109" "12103020109" "Census Tract 201.09" "2149"
 "1400000US12103020110" "12103020110" "Census Tract 201.10" "606"
 "1400000US12103020201" "12103020201" "Census Tract 202.01" "1968"
 "1400000US12103020202" "12103020202" "Census Tract 202.02" "1603"
 "1400000US12103020206" "12103020206" "Census Tract 202.06" "2358"
 "1400000US12103020207" "12103020207" "Census Tract 202.07" "1600"
 "1400000US12103020208" "12103020208" "Census Tract 202.08" "1302"
 "1400000US12103020209" "12103020209" "Census Tract 202.09" "1859"
 "1400000US12103020301" "12103020301" "Census Tract 203.01" "1773"
 "1400000US12103020302" "12103020302" "Census Tract 203.02" "2172"
 "1400000US12103020400" "12103020400" "Census Tract 204" "1276"
 "1400000US12103020500" "12103020500" "Census Tract 205" "1868"
 "1400000US12103020600" "12103020600" "Census Tract 206" "1676"
 "1400000US12103020700" "12103020700" "Census Tract 207" "1510"
 "1400000US12103020800" "12103020800" "Census Tract 208" "1950"
 "1400000US12103021200" "12103021200" "Census Tract 212" "1580"
 "1400000US12103021501" "12103021501" "Census Tract 215.01" "2124"
 "1400000US12103021502" "12103021502" "Census Tract 215.02" "1500"
 "1400000US12103021600" "12103021600" "Census Tract 216" "1558"
 "1400000US12103021800" "12103021800" "Census Tract 218" "1492"
 "1400000US12103021900" "12103021900" "Census Tract 219" "1731"
 "1400000US12103022000" "12103022000" "Census Tract 220" "1374"
 "1400000US12103022101" "12103022101" "Census Tract 221.01" "1110"
 "1400000US12103022102" "12103022102" "Census Tract 221.02" "1400"
 "1400000US12103022200" "12103022200" "Census Tract 222" "1986"
 "1400000US12103022301" "12103022301" "Census Tract 223.01" "1375"
 "1400000US12103022302" "12103022302" "Census Tract 223.02" "1833"
 "1400000US12103022401" "12103022401" "Census Tract 224.01" "1734"
 "1400000US12103022402" "12103022402" "Census Tract 224.02" "2317"
 "1400000US12103022501" "12103022501" "Census Tract 225.01" "2736"
 "1400000US12103022502" "12103022502" "Census Tract 225.02" "1680"
 "1400000US12103022503" "12103022503" "Census Tract 225.03" "2332"
 "1400000US12103022601" "12103022601" "Census Tract 226.01" "1688"
 "1400000US12103022602" "12103022602" "Census Tract 226.02" "1901"
 "1400000US12103022700" "12103022700" "Census Tract 227" "1979"
 "1400000US12103022801" "12103022801" "Census Tract 228.01" "2095"
 "1400000US12103022802" "12103022802" "Census Tract 228.02" "1341"
 "1400000US12103022901" "12103022901" "Census Tract 229.01" "1407"
 "1400000US12103022902" "12103022902" "Census Tract 229.02" "1225"
 "1400000US12103023000" "12103023000" "Census Tract 230" "1108"
 "1400000US12103023100" "12103023100" "Census Tract 231" "1313"
 "1400000US12103023200" "12103023200" "Census Tract 232" "1536"
 "1400000US12103023300" "12103023300" "Census Tract 233" "1218"
 "1400000US12103023400" "12103023400" "Census Tract 234" "987"
 "1400000US12103023501" "12103023501" "Census Tract 235.01" "1293"
 "1400000US12103023502" "12103023502" "Census Tract 235.02" "940"
 "1400000US12103023601" "12103023601" "Census Tract 236.01" "1740"
 "1400000US12103023602" "12103023602" "Census Tract 236.02" "1045"
 "1400000US12103023700" "12103023700" "Census Tract 237" "1260"
 "1400000US12103023800" "12103023800" "Census Tract 238" "1278"
 "1400000US12103023900" "12103023900" "Census Tract 239" "1121"
 "1400000US12103024001" "12103024001" "Census Tract 240.01" "1680"
 "1400000US12103024002" "12103024002" "Census Tract 240.02" "2882"
 "1400000US12103024004" "12103024004" "Census Tract 240.04" "2183"
 "1400000US12103024005" "12103024005" "Census Tract 240.05" "1323"
 "1400000US12103024100" "12103024100" "Census Tract 241" "2754"
 "1400000US12103024201" "12103024201" "Census Tract 242.01" "1251"
 "1400000US12103024202" "12103024202" "Census Tract 242.02" "1099"
 "1400000US12103024301" "12103024301" "Census Tract 243.01" "1670"
 "1400000US12103024302" "12103024302" "Census Tract 243.02" "2348"
 "1400000US12103024403" "12103024403" "Census Tract 244.03" "1975"
 "1400000US12103024406" "12103024406" "Census Tract 244.06" "3770"
 "1400000US12103024408" "12103024408" "Census Tract 244.08" "2210"
 "1400000US12103024409" "12103024409" "Census Tract 244.09" "1703"
 "1400000US12103024410" "12103024410" "Census Tract 244.10" "1806"
 "1400000US12103024411" "12103024411" "Census Tract 244.11" "2093"
 "1400000US12103024412" "12103024412" "Census Tract 244.12" "2714"
 "1400000US12103024413" "12103024413" "Census Tract 244.13" "2787"
 "1400000US12103024505" "12103024505" "Census Tract 245.05" "3479"
 "1400000US12103024507" "12103024507" "Census Tract 245.07" "2279"
